Goal_X,Goal_Y,Epsilon,N,Iteracion,Exito,Tiempo_s,Waypoints
5.0,0.0,0.8,900,1,True,0.0366,12
5.0,0.0,0.8,900,2,True,0.0164,9
5.0,0.0,0.8,900,3,True,0.0402,11
5.0,0.0,0.8,900,4,True,0.0174,9
5.0,0.0,0.8,900,5,True,0.0196,9
5.0,0.0,0.8,900,6,True,0.0265,9
5.0,0.0,0.8,900,7,True,0.0219,10
5.0,0.0,0.8,900,8,True,0.0221,12
5.0,0.0,0.8,900,9,True,0.0077,8
5.0,0.0,0.8,900,10,True,0.0117,10
5.0,0.0,1.0,100,1,True,0.0133,9
5.0,0.0,1.0,100,2,True,0.0058,7
5.0,0.0,1.0,100,3,True,0.0238,9
5.0,0.0,1.0,100,4,False,0.0239,1
5.0,0.0,1.0,100,5,True,0.0212,7
5.0,0.0,1.0,100,6,True,0.0194,10
5.0,0.0,1.0,100,7,True,0.0151,9
5.0,0.0,1.0,100,8,True,0.0070,8
5.0,0.0,1.0,100,9,True,0.0056,8
5.0,0.0,1.0,100,10,True,0.0052,7
5.0,0.0,1.0,300,1,True,0.0179,8
5.0,0.0,1.0,300,2,True,0.0052,7
5.0,0.0,1.0,300,3,True,0.0093,7
5.0,0.0,1.0,300,4,True,0.0155,8
5.0,0.0,1.0,300,5,True,0.0110,8
5.0,0.0,1.0,300,6,True,0.0061,7
5.0,0.0,1.0,300,7,True,0.0132,9
5.0,0.0,1.0,300,8,True,0.0257,8
5.0,0.0,1.0,300,9,True,0.0065,10
5.0,0.0,1.0,300,10,True,0.0103,8
5.0,0.0,1.0,600,1,True,0.0133,7
5.0,0.0,1.0,600,2,True,0.0092,8
5.0,0.0,1.0,600,3,True,0.0038,7
5.0,0.0,1.0,600,4,True,0.0270,11
5.0,0.0,1.0,600,5,True,0.0357,8
5.0,0.0,1.0,600,6,True,0.0134,8
5.0,0.0,1.0,600,7,True,0.0146,10
5.0,0.0,1.0,600,8,True,0.0303,10
5.0,0.0,1.0,600,9,True,0.0056,8
5.0,0.0,1.0,600,10,True,0.0163,10
5.0,0.0,1.0,900,1,True,0.0036,8
5.0,0.0,1.0,900,2,True,0.0076,8
5.0,0.0,1.0,900,3,True,0.0034,7
5.0,0.0,1.0,900,4,True,0.0309,8
5.0,0.0,1.0,900,5,True,0.0093,8
5.0,0.0,1.0,900,6,True,0.0056,7
5.0,0.0,1.0,900,7,True,0.0040,8
5.0,0.0,1.0,900,8,True,0.0165,10
5.0,0.0,1.0,900,9,True,0.0072,11
5.0,0.0,1.0,900,10,True,0.0072,7
7.0,-4.0,0.2,100,1,False,0.0193,1
7.0,-4.0,0.2,100,2,False,0.0148,1
7.0,-4.0,0.2,100,3,False,0.0192,1
7.0,-4.0,0.2,100,4,False,0.0105,1
7.0,-4.0,0.2,100,5,False,0.0152,1
7.0,-4.0,0.2,100,6,False,0.0105,1
7.0,-4.0,0.2,100,7,False,0.0157,1
7.0,-4.0,0.2,100,8,False,0.0162,1
7.0,-4.0,0.2,100,9,False,0.0177,1
7.0,-4.0,0.2,100,10,False,0.0148,1
7.0,-4.0,0.2,300,1,False,0.0436,1
7.0,-4.0,0.2,300,2,False,0.0463,1
7.0,-4.0,0.2,300,3,False,0.0426,1
7.0,-4.0,0.2,300,4,False,0.0381,1
7.0,-4.0,0.2,300,5,False,0.0392,1
7.0,-4.0,0.2,300,6,False,0.0360,1
7.0,-4.0,0.2,300,7,False,0.0529,1
7.0,-4.0,0.2,300,8,False,0.0313,1
7.0,-4.0,0.2,300,9,False,0.0344,1
7.0,-4.0,0.2,300,10,False,0.0424,1
7.0,-4.0,0.2,600,1,False,0.0840,1
7.0,-4.0,0.2,600,2,False,0.0821,1
7.0,-4.0,0.2,600,3,False,0.0803,1
7.0,-4.0,0.2,600,4,False,0.0811,1
7.0,-4.0,0.2,600,5,False,0.0850,1
7.0,-4.0,0.2,600,6,False,0.0771,1
7.0,-4.0,0.2,600,7,False,0.0949,1
7.0,-4.0,0.2,600,8,False,0.0779,1
7.0,-4.0,0.2,600,9,False,0.0842,1
7.0,-4.0,0.2,600,10,False,0.0967,1
7.0,-4.0,0.2,900,1,False,0.1629,1
7.0,-4.0,0.2,900,2,False,0.1311,1
7.0,-4.0,0.2,900,3,False,0.1515,1
7.0,-4.0,0.2,900,4,False,0.1594,1
7.0,-4.0,0.2,900,5,False,0.1488,1
7.0,-4.0,0.2,900,6,False,0.1630,1
7.0,-4.0,0.2,900,7,False,0.1463,1
7.0,-4.0,0.2,900,8,False,0.1440,1
7.0,-4.0,0.2,900,9,False,0.1700,1
7.0,-4.0,0.2,900,10,False,0.1435,1
7.0,-4.0,0.5,100,1,False,0.0240,1
7.0,-4.0,0.5,100,2,False,0.0159,1
7.0,-4.0,0.5,100,3,False,0.0139,1
7.0,-4.0,0.5,100,4,False,0.0213,1
7.0,-4.0,0.5,100,5,False,0.0118,1
7.0,-4.0,0.5,100,6,False,0.0146,1
7.0,-4.0,0.5,100,7,False,0.0178,1
7.0,-4.0,0.5,100,8,False,0.0163,1
7.0,-4.0,0.5,100,9,False,0.0249,1
7.0,-4.0,0.5,100,10,False,0.0129,1
7.0,-4.0,0.5,300,1,False,0.0512,1
7.0,-4.0,0.5,300,2,False,0.0453,1
7.0,-4.0,0.5,300,3,False,0.0540,1
7.0,-4.0,0.5,300,4,True,0.0391,23
7.0,-4.0,0.5,300,5,True,0.0495,26
7.0,-4.0,0.5,300,6,False,0.0452,1
7.0,-4.0,0.5,300,7,True,0.0539,22
7.0,-4.0,0.5,300,8,False,0.0416,1
7.0,-4.0,0.5,300,9,True,0.0413,22
7.0,-4.0,0.5,300,10,False,0.0431,1
7.0,-4.0,0.5,600,1,True,0.0913,30
7.0,-4.0,0.5,600,2,True,0.0464,20
7.0,-4.0,0.5,600,3,True,0.0622,26
7.0,-4.0,0.5,600,4,True,0.0287,24
7.0,-4.0,0.5,600,5,True,0.0659,28
7.0,-4.0,0.5,600,6,False,0.1053,1
7.0,-4.0,0.5,600,7,False,0.1028,1
7.0,-4.0,0.5,600,8,True,0.0316,21
7.0,-4.0,0.5,600,9,True,0.0529,21
7.0,-4.0,0.5,600,10,True,0.0429,21
7.0,-4.0,0.5,900,1,True,0.0789,27
7.0,-4.0,0.5,900,2,True,0.0799,24
7.0,-4.0,0.5,900,3,True,0.0533,24
7.0,-4.0,0.5,900,4,True,0.0393,21
7.0,-4.0,0.5,900,5,True,0.0381,25
7.0,-4.0,0.5,900,6,True,0.1116,29
7.0,-4.0,0.5,900,7,True,0.0387,26
7.0,-4.0,0.5,900,8,True,0.0796,25
7.0,-4.0,0.5,900,9,True,0.0299,24
7.0,-4.0,0.5,900,10,True,0.0504,20
7.0,-4.0,0.8,100,1,False,0.0167,1
7.0,-4.0,0.8,100,2,False,0.0200,1
7.0,-4.0,0.8,100,3,False,0.0143,1
7.0,-4.0,0.8,100,4,False,0.0175,1
7.0,-4.0,0.8,100,5,False,0.0146,1
7.0,-4.0,0.8,100,6,False,0.0117,1
7.0,-4.0,0.8,100,7,False,0.0173,1
7.0,-4.0,0.8,100,8,False,0.0131,1
7.0,-4.0,0.8,100,9,True,0.0143,13
7.0,-4.0,0.8,100,10,False,0.0313,1
7.0,-4.0,0.8,300,1,True,0.0324,15
7.0,-4.0,0.8,300,2,True,0.0260,13
7.0,-4.0,0.8,300,3,True,0.0151,16
7.0,-4.0,0.8,300,4,True,0.0450,14
7.0,-4.0,0.8,300,5,True,0.0170,16
7.0,-4.0,0.8,300,6,True,0.0302,17
7.0,-4.0,0.8,300,7,True,0.0182,15
7.0,-4.0,0.8,300,8,True,0.0184,14
7.0,-4.0,0.8,300,9,True,0.0306,16
7.0,-4.0,0.8,300,10,True,0.0453,17
7.0,-4.0,0.8,600,1,True,0.0123,16
7.0,-4.0,0.8,600,2,True,0.0964,16
7.0,-4.0,0.8,600,3,True,0.0332,16
7.0,-4.0,0.8,600,4,True,0.0513,13
7.0,-4.0,0.8,600,5,True,0.0240,15
7.0,-4.0,0.8,600,6,True,0.0166,14
7.0,-4.0,0.8,600,7,True,0.0260,16
7.0,-4.0,0.8,600,8,True,0.0635,15
7.0,-4.0,0.8,600,9,True,0.0100,14
7.0,-4.0,0.8,600,10,True,0.0218,16
7.0,-4.0,0.8,900,1,True,0.0272,15
7.0,-4.0,0.8,900,2,True,0.0304,14
7.0,-4.0,0.8,900,3,True,0.0351,15
7.0,-4.0,0.8,900,4,True,0.0340,14
7.0,-4.0,0.8,900,5,True,0.0451,17
7.0,-4.0,0.8,900,6,True,0.0323,13
7.0,-4.0,0.8,900,7,True,0.0259,16
7.0,-4.0,0.8,900,8,True,0.0238,15
7.0,-4.0,0.8,900,9,True,0.0310,14
7.0,-4.0,0.8,900,10,True,0.0307,18
7.0,-4.0,1.0,100,1,True,0.0247,13
7.0,-4.0,1.0,100,2,True,0.0296,12
7.0,-4.0,1.0,100,3,True,0.0086,12
7.0,-4.0,1.0,100,4,True,0.0222,12
7.0,-4.0,1.0,100,5,False,0.0233,1
7.0,-4.0,1.0,100,6,True,0.0340,12
7.0,-4.0,1.0,100,7,True,0.0178,14
7.0,-4.0,1.0,100,8,False,0.0211,1
7.0,-4.0,1.0,100,9,False,0.0133,1
7.0,-4.0,1.0,100,10,True,0.0121,11
7.0,-4.0,1.0,300,1,True,0.0241,15
7.0,-4.0,1.0,300,2,True,0.0117,14
7.0,-4.0,1.0,300,3,True,0.0170,11
7.0,-4.0,1.0,300,4,True,0.0186,12
7.0,-4.0,1.0,300,5,True,0.0108,13
7.0,-4.0,1.0,300,6,True,0.0263,14
7.0,-4.0,1.0,300,7,True,0.0498,15
7.0,-4.0,1.0,300,8,True,0.0136,11
7.0,-4.0,1.0,300,9,True,0.0292,16
7.0,-4.0,1.0,300,10,True,0.0510,12
7.0,-4.0,1.0,600,1,True,0.0367,13
7.0,-4.0,1.0,600,2,True,0.0370,14
7.0,-4.0,1.0,600,3,True,0.0273,12
7.0,-4.0,1.0,600,4,True,0.0146,12
7.0,-4.0,1.0,600,5,True,0.0152,14
7.0,-4.0,1.0,600,6,True,0.0330,12
7.0,-4.0,1.0,600,7,True,0.0184,13
7.0,-4.0,1.0,600,8,True,0.0248,11
7.0,-4.0,1.0,600,9,True,0.0209,12
7.0,-4.0,1.0,600,10,True,0.0221,15
7.0,-4.0,1.0,900,1,True,0.0177,13
7.0,-4.0,1.0,900,2,True,0.0348,13
7.0,-4.0,1.0,900,3,True,0.0190,11
7.0,-4.0,1.0,900,4,True,0.0179,11
7.0,-4.0,1.0,900,5,True,0.0146,16
7.0,-4.0,1.0,900,6,True,0.0167,13
7.0,-4.0,1.0,900,7,True,0.0226,11
7.0,-4.0,1.0,900,8,True,0.0533,15
7.0,-4.0,1.0,900,9,True,0.0318,17
7.0,-4.0,1.0,900,10,True,0.0248,12
6.0,-2.5,0.2,100,1,False,0.0103,1
6.0,-2.5,0.2,100,2,False,0.0133,1
6.0,-2.5,0.2,100,3,False,0.0106,1
6.0,-2.5,0.2,100,4,False,0.0091,1
6.0,-2.5,0.2,100,5,False,0.0158,1
6.0,-2.5,0.2,100,6,False,0.0127,1
6.0,-2.5,0.2,100,7,False,0.0135,1
6.0,-2.5,0.2,100,8,False,0.0132,1
6.0,-2.5,0.2,100,9,False,0.0085,1
6.0,-2.5,0.2,100,10,False,0.0156,1
6.0,-2.5,0.2,300,1,False,0.0305,1
6.0,-2.5,0.2,300,2,False,0.0398,1
6.0,-2.5,0.2,300,3,False,0.0382,1
6.0,-2.5,0.2,300,4,False,0.0393,1
6.0,-2.5,0.2,300,5,False,0.0413,1
6.0,-2.5,0.2,300,6,True,0.0459,42
6.0,-2.5,0.2,300,7,False,0.0312,1
6.0,-2.5,0.2,300,8,False,0.0318,1
6.0,-2.5,0.2,300,9,False,0.0417,1
6.0,-2.5,0.2,300,10,False,0.0421,1
6.0,-2.5,0.2,600,1,False,0.0742,1
6.0,-2.5,0.2,600,2,False,0.0949,1
6.0,-2.5,0.2,600,3,False,0.1047,1
6.0,-2.5,0.2,600,4,False,0.0769,1
6.0,-2.5,0.2,600,5,True,0.0557,44
6.0,-2.5,0.2,600,6,False,0.0875,1
6.0,-2.5,0.2,600,7,False,0.0740,1
6.0,-2.5,0.2,600,8,True,0.0570,45
6.0,-2.5,0.2,600,9,True,0.0653,46
6.0,-2.5,0.2,600,10,True,0.0310,43
6.0,-2.5,0.2,900,1,False,0.1375,1
6.0,-2.5,0.2,900,2,False,0.1383,1
6.0,-2.5,0.2,900,3,True,0.0539,42
6.0,-2.5,0.2,900,4,True,0.0684,38
6.0,-2.5,0.2,900,5,True,0.1198,52
6.0,-2.5,0.2,900,6,False,0.1441,1
6.0,-2.5,0.2,900,7,False,0.1474,1
6.0,-2.5,0.2,900,8,True,0.1416,44
6.0,-2.5,0.2,900,9,True,0.0908,41
6.0,-2.5,0.2,900,10,True,0.0750,40
6.0,-2.5,0.5,100,1,True,0.0111,16
6.0,-2.5,0.5,100,2,True,0.0123,17
6.0,-2.5,0.5,100,3,False,0.0217,1
6.0,-2.5,0.5,100,4,True,0.0171,17
6.0,-2.5,0.5,100,5,False,0.0193,1
6.0,-2.5,0.5,100,6,False,0.0212,1
6.0,-2.5,0.5,100,7,False,0.0214,1
6.0,-2.5,0.5,100,8,False,0.0168,1
6.0,-2.5,0.5,100,9,False,0.0173,1
6.0,-2.5,0.5,100,10,False,0.0161,1
6.0,-2.5,0.5,300,1,True,0.0333,20
6.0,-2.5,0.5,300,2,True,0.0320,19
6.0,-2.5,0.5,300,3,True,0.0325,19
6.0,-2.5,0.5,300,4,True,0.0182,20
6.0,-2.5,0.5,300,5,True,0.0203,22
6.0,-2.5,0.5,300,6,True,0.0156,19
6.0,-2.5,0.5,300,7,True,0.0297,19
6.0,-2.5,0.5,300,8,True,0.0132,17
6.0,-2.5,0.5,300,9,True,0.0153,20
6.0,-2.5,0.5,300,10,True,0.0165,17
6.0,-2.5,0.5,600,1,True,0.0373,23
6.0,-2.5,0.5,600,2,True,0.0649,21
6.0,-2.5,0.5,600,3,True,0.0206,17
6.0,-2.5,0.5,600,4,True,0.0197,17
6.0,-2.5,0.5,600,5,True,0.0320,19
6.0,-2.5,0.5,600,6,True,0.0324,24
6.0,-2.5,0.5,600,7,True,0.0181,16
6.0,-2.5,0.5,600,8,False,0.1040,1
6.0,-2.5,0.5,600,9,True,0.0699,19
6.0,-2.5,0.5,600,10,True,0.0865,20
6.0,-2.5,0.5,900,1,True,0.0183,19
6.0,-2.5,0.5,900,2,True,0.0203,20
6.0,-2.5,0.5,900,3,True,0.0122,19
