0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 33.34           | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 296.24          | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 56.62           | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 105.49          | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 112.66          | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 75.05           | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 26.89           | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 20.88           | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 54.04           | 1
0.000      | 0.000      | 1.000      | -4.000     | 0.50     | 10000    | 62.21           | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 291.19          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 253.59          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 290.41          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 99.84           | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 124.26          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 189.15          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 154.21          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 198.17          | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 78.75           | 1
0.000      | 0.000      | 9.000      | 2.000      | 0.50     | 10000    | 200.83          | 1
0.000      | 0.000      | -7.000     | 2.000      | 0.50     | 10000    | 30890.40        | 0
0.000      | 0.000      | -7.000     | 2.000      | 0.50     | 10000    | 32037.83        | 0
0.000      | 0.000      | -7.000     | 3.000      | 0.50     | 10000    | 34594.89        | 0
0.000      | 0.000      | -1.000     | 0.000      | 0.50     | 10000    | 1.15            | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 26.22           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 77.99           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 73.53           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 217.45          | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 73.06           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 82.20           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 84.70           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 56.20           | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 129.06          | 1
0.000      | 0.000      | -7.000     | -3.000     | 0.50     | 10000    | 191.61          | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 43.92           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 39.44           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 30.22           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 356.27          | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 58.62           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 54.49           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 48.72           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 25.66           | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 101.22          | 1
0.000      | 0.000      | -8.000     | 1.000      | 0.50     | 10000    | 138.08          | 1
